type,size,risk,r,angle,z
Fragment,Large,Critical,47.0077739994291,352.78396104898,111.245672792643
Fragment,Small,Low,46.216563336938,354.816264223008,45.3960510955221
Rocket_Body,Medium,Low,89.6128199406652,247.204300220686,99.355778986913
Fragment,Large,Low,90.6006563318654,87.7013251135899,23.742457604906
Satellite,Medium,High,91.8257737648227,287.480101727015,103.217648880952
Rocket_Body,Small,Moderate,38.2490268863524,38.5304883159737,19.2282109215692
Satellite,Large,High,72.1950231465335,281.051749501786,63.8034744404975
Satellite,Small,Critical,34.4469863146932,327.67060469209,37.0809110608315
Rocket_Body,Small,Low,27.1548849767004,137.820022116636,112.256287414227
Fragment,Medium,Moderate,26.6169211612632,227.028706193908,39.3052506760311
Satellite,Large,Critical,40.7896858777234,154.851383554857,132.257595959309
Rocket_Body,Small,Critical,48.6961857801839,157.595419795726,133.773031710991
Satellite,Small,Critical,84.7854253949561,111.733520078923,29.4661972834178
Satellite,Large,High,20.790198412544,274.366663362116,92.0768917511586
Satellite,Small,Low,76.1433262655404,337.023563099941,13.1576462579946
Satellite,Small,Critical,57.8309422770374,338.670309324406,58.7305649402443
Fragment,Large,Low,35.9150808408393,62.9212625549761,106.99825942519
Satellite,Large,High,54.3537626079542,314.907713876363,98.9134870274874
Satellite,Large,Critical,36.994786279932,265.475318913763,93.7051004109912
Satellite,Large,High,63.6473759714475,91.0214642485041,42.3811295493665
Fragment,Medium,High,49.0459530569719,24.2224606517452,56.7037424151603
Satellite,Large,Low,24.796497617099,96.479016078376,15.4419217050429
Satellite,Medium,Critical,20.4924767100127,328.394965241349,107.85342306504
Fragment,Medium,High,59.2026113864917,227.944322962478,75.583319518691
Fragment,Medium,Critical,91.2171729957493,259.579677923233,106.314844851848
Fragment,Small,Low,40.9561917901916,92.5748463992745,37.3415287195309
Satellite,Medium,High,75.970009650036,258.979736006935,48.6657342952599
Fragment,Medium,Low,69.279521944579,10.1237422600525,50.1323005890172
Fragment,Small,Critical,93.8399422878532,135.115684478284,3.86136146208242
Satellite,Small,Critical,83.8882915569226,225.631205475239,51.1571809245935
Fragment,Small,Low,60.9944733014916,52.5947635948752,120.495686027705
Satellite,Large,Moderate,69.1327448410696,296.281286800896,134.59477436246
Rocket_Body,Small,High,90.8547819925631,84.6112675722907,77.7327473453891
Fragment,Small,Critical,45.9566906128241,234.82120061464,68.325254282883
Rocket_Body,Medium,Critical,39.4115235271999,145.870971327118,4.62369280490553
Satellite,Small,High,10.9729975271676,214.575694371952,131.880650637807
Fragment,Large,Low,84.3895966772317,38.6821989464069,1.9515320138809
Satellite,Small,Low,82.0882630363028,6.08860797177863,141.712512031531
Rocket_Body,Large,Low,19.4009066290136,327.443193856908,73.3824373032135
Satellite,Small,Moderate,61.917164301943,97.0668031561858,51.2901740362089
Fragment,Small,Moderate,51.7583528350198,295.083721000965,138.632765226399
Fragment,Small,Critical,20.68381859582,359.766108169992,3.65864896651451
Rocket_Body,Small,Low,98.2511404354651,76.115252879608,87.213734230363
Satellite,Large,High,29.3226298717019,95.461466826008,82.3398786749006
Fragment,Large,Critical,16.0510762081505,238.629523548479,32.8980601817073
Rocket_Body,Medium,High,63.5362641551718,347.561508456223,64.3331147025315
Fragment,Large,Critical,76.4980009419729,329.693165348667,97.8396008915655
Fragment,Small,Moderate,12.9199101442468,181.03518722361,109.069679532289
Satellite,Medium,Critical,69.2845874854319,286.23970170962,0.107528805986967
Fragment,Medium,Moderate,57.9062688356309,48.8685071159643,140.528014513652
Satellite,Medium,Critical,19.2938507987543,351.877746313444,24.6788058589218
Fragment,Small,Low,25.5271489251725,347.167164252955,35.0370651333538
Rocket_Body,Large,High,61.1176867584472,58.9424248365015,39.5210168540772
Fragment,Small,Low,36.6721852161959,107.792324929118,5.67302048280529
Satellite,Medium,Critical,94.4484155786184,36.0557991024361,18.4578185385487
Satellite,Small,Critical,83.6866206535645,97.8183356033446,147.952488441624
Rocket_Body,Small,Critical,98.5210485862296,293.744084189474,47.2825106065929
Fragment,Large,Moderate,33.3703755055372,136.193618579493,17.2951635508574
Fragment,Large,High,97.2751269518179,31.822908172833,16.0486891761935
Rocket_Body,Medium,High,48.8110482812402,123.201188920405,107.918995150495
Fragment,Small,Critical,41.2766915782379,353.29800032686,128.185299604896
Fragment,Small,Critical,14.5314574272417,226.686094293313,38.5428449262704
Satellite,Large,Moderate,14.7488732073642,149.817940706216,3.13642685028524
Fragment,Small,Low,72.2810130351989,59.9538648590172,33.4635027668033
Fragment,Small,Low,51.2136094990625,355.02364702213,8.4773536195136
Rocket_Body,Small,High,30.3869463432495,295.505643334726,15.5092404945062
Rocket_Body,Large,Moderate,65.2573275692709,101.33182888233,64.7262179771463
Satellite,Medium,Critical,32.75723064251,25.2247304596282,34.4877556292448
Fragment,Medium,High,61.986857890998,20.3852006559208,77.3918817788135
Fragment,Small,Moderate,42.3287872284421,43.3361338219921,38.0240629885785
Fragment,Medium,Low,84.1197003950637,209.076690101191,141.080595165442
Satellite,Large,Moderate,83.8626544690101,334.354831633977,135.891595188939
Satellite,Large,Low,52.9615358310161,178.827634082154,85.0209157515699
Rocket_Body,Medium,Moderate,41.5737198401514,303.460373684231,53.1635987981079
Satellite,Medium,High,42.6303816903185,160.51918314953,57.1720323052103
Fragment,Small,Low,82.5143073101396,255.090076476417,61.7778424716745
Fragment,Medium,High,39.536153451785,263.47418542314,109.136898320241
Satellite,Small,High,28.8153436336161,62.6269341252019,67.7458493278256
Fragment,Small,Low,17.6219507687776,130.037781231292,128.509491975884
Fragment,Large,Low,52.0023808795967,229.428776353688,141.614217889554
Satellite,Large,Critical,53.3918889027857,25.4507789463718,50.39192300684
Satellite,Large,Critical,85.6817839362616,130.154467594664,84.104172206352
Fragment,Large,Critical,29.9114826801457,192.527807861229,14.2584805248846
Fragment,Medium,High,44.2892146301559,358.640817496069,30.0703571649538
Fragment,Large,High,82.7565165004321,170.832082544078,62.019865006524
Rocket_Body,Medium,Critical,84.1261249674076,293.780432561156,30.9304073852668
Rocket_Body,Large,High,44.6149968380891,155.544222623982,131.484073618307
Rocket_Body,Medium,High,51.3211620958012,286.700660143095,23.7429384088647
Satellite,Small,Low,37.2957301764354,214.349328583239,68.3491232329637
Rocket_Body,Medium,Low,93.929939057738,319.174358940863,90.8548860689813
Satellite,Medium,High,20.6779389167422,147.939318846039,103.779586224126
Satellite,Large,Critical,94.0374480701323,217.549591135732,57.460405458976
Rocket_Body,Medium,Moderate,71.5479806651808,226.806725022777,130.364860308709
Rocket_Body,Small,Critical,57.8414937418058,150.25785904817,85.2478726616888
Rocket_Body,Small,Moderate,12.9393154706046,51.9523357274933,65.9261670671327
Fragment,Large,Critical,52.8036572639807,33.6813864884408,10.0860951078054
Rocket_Body,Small,Low,46.6973294502459,6.00175821586791,69.7034202667747
Fragment,Medium,High,24.509693077761,314.472335128277,123.110376122359
Satellite,Small,High,69.0768643150591,85.13096840593,92.1811527331973
Fragment,Large,Low,97.4035816631457,76.1424297414365,124.824368059367
Rocket_Body,Medium,Moderate,60.5969929958072,264.972744153383,74.1017505898958
Satellite,Large,Moderate,74.3277948799551,115.205800711461,17.7692557641722
Satellite,Medium,Moderate,16.1605407309415,182.176089268261,2.04597687538216
Satellite,Small,Low,47.5900296235295,58.5039835070842,45.4829320077886
Fragment,Large,Moderate,20.4722636648046,345.508459726308,104.698570724668
Rocket_Body,Large,Low,65.1516251982859,306.569304006205,118.538985591254
Satellite,Medium,Critical,94.4633942392739,310.964264267401,44.3629251930494
Satellite,Large,Critical,69.5599959224474,146.438549485921,74.348088132487
Satellite,Medium,Low,16.9122743482979,274.450036934582,63.1678356651122
Fragment,Medium,High,41.9199584486574,51.7954159403208,61.5784176527141
Fragment,Medium,Critical,59.5597041496766,3.1028409330409,34.7023069800225
Rocket_Body,Medium,Moderate,46.2886980519927,7.19025572809012,20.4556657544187
Fragment,Small,Low,85.0279609427655,211.176625465641,29.5032837346819
Satellite,Medium,Moderate,83.320390423899,163.942165889258,8.29985807450191
Rocket_Body,Large,Moderate,65.0647918092899,186.485525607067,29.7196112735365
Satellite,Small,High,43.6112150619434,2.68673055019898,1.38013464380691
Satellite,Large,Moderate,32.9802736386919,152.167183076673,94.0887600953967
Fragment,Small,High,19.5286886391816,258.504538032309,47.4563111081524
Rocket_Body,Medium,Critical,41.9407915137898,159.369732708276,145.971706714036
Fragment,Small,Low,47.1855265486947,263.5989142724,29.0575576164446
Fragment,Small,Moderate,70.8240632593666,83.8868271828605,51.874285546439
Rocket_Body,Large,Low,69.2343841867816,292.731121613421,53.6761737962299
Satellite,Large,Moderate,16.3097325677131,211.835246563242,1.26772440936908
Satellite,Medium,Low,45.5733383888042,75.8747157947662,125.881192955918
Rocket_Body,Small,Moderate,26.3600980495625,85.2193713073798,4.7991690216487
Satellite,Small,Moderate,24.1131434785125,226.090967245033,141.026975209386
Rocket_Body,Small,Moderate,84.4571934763521,298.778253556479,133.811152664043
Rocket_Body,Medium,Moderate,13.7723695044631,149.626001530495,80.3282874128945
Fragment,Medium,Moderate,47.7264588311909,92.9881544859332,81.5393362366938
Rocket_Body,Medium,Moderate,25.1383290189866,312.124178487816,98.0666884434234
Fragment,Medium,Moderate,89.1397194110626,240.9365850303,58.057501790233
Satellite,Medium,Moderate,60.1336461947531,161.310775421907,97.0833425096783
Satellite,Large,Moderate,30.8242572739163,175.644070300548,6.71525830327303
Satellite,Small,Low,55.2184558449738,73.5323284571027,8.10714410245898
Satellite,Small,High,75.8337723732804,225.648946823343,68.5845629429316
Fragment,Small,Moderate,96.230620802749,129.147303795439,82.4433451659052
Satellite,Small,High,29.8401403820877,358.432263602765,133.172646050372
Rocket_Body,Small,Moderate,89.756359491641,172.866065494279,15.6990950861844
Rocket_Body,Small,Moderate,94.0873702750741,174.91881822826,123.397189079083
Rocket_Body,Small,Low,92.4778490078859,203.706643467841,31.5071005938104
Fragment,Small,Critical,67.1872921175718,330.032161122748,59.1125472765047
Satellite,Large,Critical,66.6838588991236,288.29451594951,47.4903652241119
Satellite,Small,Low,46.288956986544,162.406825127222,60.0232909298098
Satellite,Large,High,77.7158094073409,258.731735750206,22.5743247108878
Fragment,Medium,Critical,57.8164616515838,211.044779561074,75.5355111605332
Rocket_Body,Small,Low,70.9694264105465,177.252137532449,120.246388474705
Rocket_Body,Medium,Low,48.5612113463915,69.2336782023661,66.2301015568345
Satellite,Medium,Critical,75.8346817638825,167.01705484376,73.5920363847298
Rocket_Body,Medium,High,84.2024365844094,88.4946913281268,127.315137792197
Rocket_Body,Large,Low,23.1792630942534,329.343173946595,105.908717195704
Fragment,Medium,Moderate,84.9636744016805,120.746452858684,73.5681612779677
Fragment,Medium,High,58.6266878611276,342.815045232014,38.6543472283769
Fragment,Medium,High,86.0199318181201,191.899904434096,132.739012026745
Fragment,Small,Critical,48.8171535706913,227.355976323417,86.5530602535837
Satellite,Small,Critical,44.1136436844731,195.458560016158,33.172141516604
Fragment,Large,Moderate,92.35546592655,46.5770221080123,40.3679628957015
Rocket_Body,Large,Low,32.6052340793561,135.295638842858,120.469963340436
Satellite,Small,Critical,85.9791092757528,35.6926004199446,6.62183431311831
Rocket_Body,Large,Critical,53.5618515258463,224.263455906017,148.813828054323
Rocket_Body,Small,High,56.2685898296133,160.874710272158,19.5527519572187
Rocket_Body,Medium,Critical,37.7621453340535,280.074589765537,119.41027880954
Fragment,Medium,Critical,61.5737980557114,79.3693731597731,59.2162975157524
Fragment,Large,Critical,39.269007664859,59.2437810345605,73.83242749312
Satellite,Small,Critical,13.5342472817487,146.279603146956,132.097586619686
Satellite,Small,High,34.479874480992,333.570737958617,61.9366784383819
Fragment,Large,Moderate,10.5741139065931,255.751853404468,80.6240630509851
Rocket_Body,Small,Moderate,98.051930835117,150.81250492545,7.39494936137549
Satellite,Medium,Low,96.9172488837772,186.217981111551,0.352121080117973
Fragment,Large,Critical,45.5639767725074,30.3166840237554,36.7199809502588
Fragment,Large,High,75.5533768905681,354.4473226954,102.087463937815
Fragment,Small,Low,41.1225488569382,239.90662969017,18.1897340038705
Rocket_Body,Large,Low,70.3983841377378,102.745464646832,17.0642938206824
Fragment,Small,Moderate,82.4887038741381,210.891021917487,61.6440912053854
Fragment,Small,High,95.2080620223016,39.4136517848378,97.1755557912339
Fragment,Small,High,46.0191048264704,347.70120077073,106.810798837189
Fragment,Small,High,80.4968184660442,62.9225956380117,26.7676011147562
Satellite,Small,Moderate,33.9335605568906,233.290914499877,11.9382221058063
Satellite,Large,Moderate,99.1299073414283,88.3636065140149,141.059555091831
Fragment,Medium,Moderate,12.3192638887916,258.322097753472,39.0999573843152
Rocket_Body,Medium,Moderate,64.3175925851008,279.655692206501,128.001974641308
Satellite,Large,Moderate,69.3555383486194,242.431102408115,129.523717569422
Fragment,Large,Critical,71.9241001366716,221.219805691869,115.878388764381
Satellite,Medium,Critical,20.834882091018,321.288873822724,25.3250409978855
Satellite,Medium,High,94.4676805125817,28.3056159563128,123.27021888813
Rocket_Body,Medium,Low,26.3064951145074,119.12931568087,115.387583886238
Fragment,Medium,High,66.0478062915856,89.3834926671045,89.5084485159325
Fragment,Medium,Low,30.0408471210776,355.685026343551,50.5803052753429
Rocket_Body,Small,Moderate,37.6494775319143,140.180320680074,39.3762906399816
Rocket_Body,Large,Low,59.1812687555311,263.740571726543,18.2833818120538
Fragment,Small,High,47.5474076708118,246.501058997161,76.4635600351307
Fragment,Medium,High,24.4203040878855,76.3492454918559,87.7891313264769
Rocket_Body,Medium,Low,25.3842762178763,86.0391648761584,53.900848577368
Satellite,Medium,Critical,47.6330309346519,101.262442879092,71.3038601521302
Satellite,Small,Moderate,78.155468044795,148.005820173376,54.52716860539
Rocket_Body,Small,Moderate,90.8168182163009,84.3570236341896,96.1509085981051
Satellite,Medium,High,17.5714896033444,7.0745337888652,135.188881169484
Rocket_Body,Small,Critical,45.3793516803461,316.58150045059,24.5880393070417
Satellite,Small,Low,19.0221007350589,347.619539297118,57.2113214854685
Satellite,Medium,Moderate,11.4933232569338,122.965339331364,21.1302905926291
Fragment,Small,Critical,69.5546814379561,121.86247659317,93.7415655611748
Fragment,Large,Moderate,64.2204497769929,2.55305259877355,109.330576423289
Satellite,Large,Critical,24.6717202433397,244.890247798934,139.786909889618
Satellite,Large,Critical,31.0431549783757,297.158362469506,41.8307889391447
Fragment,Large,High,12.1336978280066,52.7789881296011,142.531680879814
Fragment,Medium,Moderate,85.1452485124963,57.4798857721742,9.48940077310122
Fragment,Medium,Low,97.7221536443696,284.429969989717,90.4520795046882
Rocket_Body,Medium,High,22.1913583115221,221.864669407492,8.56990790149949
Satellite,Large,High,30.8327692388768,16.1498007459781,134.066128164291
Fragment,Large,Low,88.156857155224,224.116916566421,79.4713585605081
Satellite,Small,High,93.3817418160566,111.210380223755,100.402252614419
Rocket_Body,Small,Critical,47.7664644526129,132.741055969504,124.736088886567
Rocket_Body,Large,Critical,14.5560225042166,277.103310586876,22.5465933725953
Fragment,Large,Moderate,13.5452650323537,291.936669362139,5.78873429072007
Rocket_Body,Large,Moderate,61.6554879462109,144.128385662339,131.832171886927
Satellite,Large,Low,45.3605598003861,340.975056962287,47.2399841188398
Fragment,Small,Moderate,12.5787184819889,146.326578462746,19.3468361890747
Satellite,Large,Critical,62.4927153081301,277.860972682839,70.2691855630629
Satellite,Small,Low,11.017228293012,174.195815243133,89.7459113544028
Rocket_Body,Large,Low,80.8634762334345,323.11163754795,4.64559051337651
Rocket_Body,Large,Moderate,37.5789540433034,326.794047714064,41.2343487385631
Rocket_Body,Large,Critical,13.6232202708308,31.4700508335901,4.9199811415344
Rocket_Body,Small,Low,62.9516998884838,337.137599271681,63.0503083793248
Rocket_Body,Small,Critical,45.7915972989749,297.192542947349,134.265004359936
Fragment,Medium,Critical,97.6420372021434,284.87185715256,147.397861724035
Satellite,Large,Critical,58.9778796253331,72.328082286788,95.5571330255441
Satellite,Medium,Moderate,34.7715262933307,289.842915151679,24.2456540676887
Satellite,Medium,High,73.8494978170577,306.047784486613,135.877408499895
Satellite,Small,High,34.434280228844,104.094120403494,77.437173480009
Rocket_Body,Small,Low,91.3818962266808,342.813628210436,23.0623968154377
Satellite,Medium,Critical,43.7249773456638,17.9496527036991,138.259000417749
Fragment,Large,Moderate,59.4881706498584,53.9673311689702,113.620357608465
Fragment,Small,Critical,14.5515793441805,193.529209698545,109.755790908472
Satellite,Large,Critical,48.3509114157007,207.285289604031,106.37710556916
Satellite,Large,Moderate,84.9127185694895,232.254029988325,30.0509731644663
Fragment,Medium,High,82.5083924827007,6.10888655356792,31.6510037561289
Fragment,Medium,Critical,30.1886702968173,345.732038863966,103.243949764088
Rocket_Body,Medium,Critical,30.3471163909506,16.0517133842918,32.9584125165595
Fragment,Medium,High,83.5574780991913,51.5023029804248,65.8007545204573
Rocket_Body,Small,Moderate,93.7358578152393,5.04522630938051,117.300273839091
Rocket_Body,Small,Low,18.5824829145703,204.069035985874,117.592877714676
Rocket_Body,Medium,High,50.5052775483602,335.61607821155,67.9892658788789
Rocket_Body,Small,Low,40.3708851067806,239.740979788967,118.828490741286
Rocket_Body,Medium,Low,88.3619609911695,296.156688652953,125.793269429708
Satellite,Large,High,17.5172423212016,4.78123324508882,98.216362692639
Fragment,Large,Critical,29.0013348302233,195.125507452701,34.263877846263
Rocket_Body,Large,Low,77.7221503827844,165.442671901987,41.1017670578321
Fragment,Medium,Low,14.6164464083094,179.628459919485,47.2261733113103
Fragment,Large,Moderate,54.328184264286,25.9967467206676,17.5206161600928
Rocket_Body,Small,Critical,49.7896331211748,246.39672998495,40.9739430554917
Satellite,Large,Low,40.0961061089873,181.159349349108,31.4278836468798
Rocket_Body,Large,Moderate,45.5115083787031,275.453585950055,68.2993124712903
Satellite,Large,Critical,57.6946528237209,174.704628262217,136.265632180839
Fragment,Small,High,24.5230622549544,53.7773890415155,15.6720475130937
Satellite,Medium,High,61.4796290455233,233.372503468015,108.040188592109
Satellite,Small,Moderate,82.4889096369987,62.0590903578598,103.092450661969
Satellite,Medium,High,78.4144836811143,314.062042807733,14.3631297995036
Fragment,Medium,Low,23.8509914224396,220.721846064926,138.38586073587
Fragment,Large,Critical,23.4324522767326,56.5933980805035,85.2708303235229
Satellite,Medium,Low,34.1356930970422,346.441700693234,54.5588281703526
Satellite,Small,Low,42.4967253706933,186.611566800715,113.480787524296
Rocket_Body,Small,High,46.7610023267634,26.2434426737958,38.6048187602451
Satellite,Medium,Low,71.172749515001,225.659845589424,104.026475556948
Rocket_Body,Large,High,15.1012388949251,91.1516065246116,5.95668113583708
Satellite,Large,Critical,13.1205433803459,289.329642675828,125.91120564139
Rocket_Body,Small,Critical,45.2719506649518,294.415946483828,67.2256270531977
Fragment,Large,Low,72.7447322924182,352.421048107678,95.5039371536912
Satellite,Medium,Moderate,27.4091808660834,180.673031168821,33.1856729710025
Satellite,Medium,High,67.7354033130626,163.784476701985,101.561056898767
Satellite,Small,High,33.3845324146269,271.251217960733,115.836041383991
Satellite,Medium,Low,89.7477497932164,47.6894362830935,70.9819780326598
Rocket_Body,Small,High,90.6120949839954,196.889584965524,92.6590386092691
Satellite,Medium,High,36.7558483853193,196.649136047106,68.4488885733597
Fragment,Small,Moderate,30.6994378566916,32.2103242117394,134.113705388676
Fragment,Large,Moderate,47.0173574859608,150.474270782488,74.6803770771478
Satellite,Medium,Low,31.6478426662133,307.182527484192,126.271306354322
Fragment,Medium,Moderate,70.5145458962533,308.215303918077,120.202808740537
Satellite,Small,Low,84.3458216093456,35.7255593710851,61.5757232022534
Satellite,Small,Critical,70.5782917820095,32.6595177892191,34.5126737786212
Fragment,Medium,Low,84.1915402524414,94.5703717206967,60.9123198839656
Satellite,Small,Critical,45.7292945986726,314.915782519437,123.932606366283
Fragment,Medium,Low,24.0685273637974,46.4049306264596,34.1448803729088
Rocket_Body,Large,High,76.4155852657832,259.19884894588,78.6654518786624
Satellite,Small,Moderate,42.4427054627398,36.4196230607171,120.914512194112
Rocket_Body,Medium,Critical,70.4143742706219,224.329627349217,53.0216212692568
Fragment,Large,Low,34.3579547783589,128.184227682892,96.3314455504046
Rocket_Body,Large,Moderate,17.3106671326005,284.009026667712,36.8447361073221
Rocket_Body,Medium,Low,99.3323615938987,84.1285615771309,16.3919168052239
Fragment,Small,Moderate,24.0581357137539,230.112658580385,119.157633763928
Rocket_Body,Medium,Moderate,98.9578894567132,84.8457124473185,14.845293511306
Rocket_Body,Large,Low,97.9551939309802,256.917701920375,40.7072092619376
Fragment,Medium,Critical,81.4436293517235,314.524092441869,128.266413299616
Rocket_Body,Small,Critical,69.3480665873797,45.6486476856336,51.9703930618
Fragment,Large,High,62.0026345225976,311.974447894381,145.956802427124
Rocket_Body,Medium,Moderate,87.9491390840051,213.687091589147,146.960150216078
Fragment,Small,High,36.0495569457539,45.7597767121286,40.2414030680335
Fragment,Large,High,52.0913091236389,153.915067929496,6.14673333748356
Rocket_Body,Small,Low,65.7450972429851,57.9097056546352,105.759492630806
Rocket_Body,Large,Low,47.0071428282541,252.125239991965,67.6479753972515
Rocket_Body,Medium,Low,48.4737808681241,273.192528390461,15.1129265939364
Satellite,Small,Moderate,39.7256200751875,38.0867472982076,106.128422846706
Satellite,Large,Low,60.7808635016082,182.210346970071,4.67623636678818
Satellite,Small,Low,86.5517075213604,293.26502016933,130.529503573836
Fragment,Small,Moderate,28.1375540205681,337.018694958358,20.7978793669955
Rocket_Body,Medium,Moderate,94.0989734878097,184.866432027037,19.0967818120087
Fragment,Small,Critical,72.0178888373406,342.100520500106,26.3508446952876
Satellite,Large,Low,84.0945891412027,192.84802936417,144.039953773809
Rocket_Body,Large,Low,60.057162336701,141.908578055966,103.975404038076
Fragment,Large,Low,80.1565031281657,305.353126279042,120.205730319545
Rocket_Body,Large,Critical,11.458035760552,177.473775764912,59.6452478599129
Fragment,Medium,Low,83.6542382301581,169.884903803228,50.4469091257433
Rocket_Body,Small,Critical,13.6124973176829,176.512496187538,35.1726010174754
Satellite,Medium,High,90.0922038726576,304.842600673108,72.0972042468613
Satellite,Small,Critical,99.2766472514779,299.498955007698,82.7743100301252
Rocket_Body,Small,High,36.46607159591,145.267197278476,94.7662265479133
Fragment,Small,Low,28.9286700657214,119.987949553389,38.5677755998041
